"HOUSEHOLD","ACORN","ACORN_GROUPED","TARIFF","X0","X3","X10","X13","X20","X23","X30","X33","X40","X43","X50","X53","X60","X63","X70","X73","X80","X83","X90","X93","X100","X103","X110","X113","X120","X123","X130","X133","X140","X143","X150","X153","X160","X163","X170","X173","X180","X183","X190","X193","X200","X203","X210","X213","X220","X223","X230","X233"
"MAC000261","ACORN-F","Comfortable","ToU",0.120055702917772,0.108635616438356,0.105161643835616,0.104087671232877,0.105684931506849,0.102350684931507,0.103112328767123,0.104213698630137,0.104638356164384,0.10726301369863,0.109794520547945,0.10258904109589,0.105098630136986,0.112649315068493,0.111731506849315,0.108767123287671,0.116197802197802,0.113709589041096,0.117531506849315,0.131082191780822,0.134112637362637,0.131142466027397,0.136142465753425,0.149435616438356,0.158079452054795,0.162175342465753,0.162312328767123,0.162052054794521,0.156271232876712,0.161013698356164,0.163635616438356,0.163161644109589,0.175649315068493,0.187975342465753,0.195035616438356,0.202378082191781,0.214273972328767,0.21218904109589,0.254120547945205,0.249794520547945,0.282728767123288,0.276290410958904,0.249350684931507,0.227602739726027,0.208416438356164,0.183128767123288,0.16178904109589,0.131287671232877
"MAC000265","ACORN-F","Comfortable","ToU",0.218851063829787,0.188873626373626,0.156835164835165,0.129321428571429,0.108206043956044,0.090271978021978,0.0862884615384615,0.0843021978021978,0.0857005494505494,0.084021978021978,0.083217032967033,0.0839313186813187,0.0848379120879121,0.0831758241758242,0.0815467032967033,0.0832527472527472,0.0919173553719008,0.106865384615385,0.136604395604396,0.162087912087912,0.170788461538462,0.180747252747253,0.15432967032967,0.148208791208791,0.141206043956044,0.130264462809917,0.123881868131868,0.130975274725275,0.129082417582418,0.134324175824176,0.137282967032967,0.150384615384615,0.156678571428571,0.174013736263736,0.205601648351648,0.21601652892562,0.231217032692308,0.246376373626374,0.254164835164835,0.263728021978022,0.268065934065934,0.255664835164835,0.259142857142857,0.255703296703297,0.246565934065934,0.248956043956044,0.244445054945055,0.228563186813187
"MAC000278","ACORN-G","Comfortable","ToU",0.119456233421751,0.10453698630137,0.0963049450549451,0.0844109589041096,0.074386301369863,0.0669917808219178,0.0601342465753425,0.0570383561643836,0.061558904109589,0.0614465753424658,0.0655452054794521,0.0781041095890411,0.0805643835616438,0.0853041095890411,0.118991780821918,0.138052054794521,0.156413698630137,0.143605479452055,0.120309589041096,0.120210959178082,0.105487671232877,0.093372602739726,0.096972602739726,0.0812739726027397,0.0856657534246575,0.0834767123287671,0.0848356164383562,0.0874958904109589,0.0890904109589041,0.0940246575342466,0.0847890410958904,0.0899835616438356,0.0987917808219178,0.1126,0.135117808219178,0.134575342465753,0.146104109589041,0.145824657534247,0.153365384615385,0.157923287671233,0.200095890410959,0.215893150684932,0.197252054794521,0.186131506849315,0.1768,0.169331506849315,0.140323287671233,0.126764383561644
"MAC000286","ACORN-F","Comfortable","ToU",0.189318302387268,0.190904109589041,0.187230136986301,0.182980821917808,0.181013698630137,0.176887671232877,0.170668493150685,0.171293150684932,0.166408219178082,0.161145205479452,0.154057534246575,0.18992602739726,0.219391780821918,0.244164383561644,0.28761369890411,0.297479451780822,0.303961643561644,0.313764384109589,0.297079452054795,0.297334246575342,0.287758904109589,0.278295890410959,0.271030136986301,0.256556164657534,0.263876712054795,0.262063013424658,0.28665753369863,0.317630136712329,0.30767397260274,0.319046575890411,0.337306849041096,0.41687397260274,0.45261369890411,0.445178571153846,0.395676711780822,0.36238630109589,0.329690410958904,0.319824657534247,0.313164383561644,0.30192602739726,0.288969863013699,0.27533698630137,0.264890410958904,0.247783561643836,0.238391780821918,0.219490410958904,0.20867397260274,0.197008219178082
"MAC000328","ACORN-F","Comfortable","ToU",0.0441883289124668,0.0450520547945205,0.0436027397260274,0.0428986301369863,0.0445397260273973,0.0446712328767123,0.0463753424657534,0.0520465753424658,0.0508191780821918,0.0555095890410959,0.0604958904109589,0.062427397260274,0.0710301369863014,0.0818246575342466,0.102320547945205,0.100202739726027,0.112435616438356,0.0970849315068493,0.0884356164383562,0.066241095890411,0.0632356164383562,0.0629068493150685,0.0714945054945055,0.0897335164835165,0.0978512396694215,0.113209366391185,0.123414835164835,0.0939095890410959,0.0886675824175824,0.0832554945054945,0.0951263733516483,0.095372602739726,0.101115068493151,0.123394520547945,0.124671232876712,0.154780821917808,0.139693150684932,0.138917808219178,0.124868493150685,0.117986301369863,0.112947945205479,0.106772602739726,0.0951835616438356,0.0895397260273973,0.0698876712328767,0.0572493150684932,0.052813698630137,0.0466438356164384
"MAC000352","ACORN-G","Comfortable","ToU",0.120127320954907,0.106994520547945,0.104934246575342,0.0997698630136986,0.0937123287671233,0.0906821917808219,0.0909205479452055,0.0904082191780822,0.0896109589041096,0.0893178082191781,0.111868493150685,0.105216438356164,0.127561643835616,0.141005494505495,0.125931506849315,0.136747945205479,0.151032876712329,0.1694,0.201890410958904,0.232654794520548,0.236438356438356,0.234619177808219,0.252890411506849,0.258545205479452,0.262364383287671,0.237169862739726,0.21866849369863,0.17727397260274,0.172621918082192,0.1646,0.175739726027397,0.198684931780822,0.225493150410959,0.330128767123288,0.409106849315069,0.433421918356164,0.411380822465753,0.34681369890411,0.311942465479452,0.300668493424658,0.289328767123288,0.291054794794521,0.278367123287671,0.256734246849315,0.218558904109589,0.192805479178082,0.1534,0.123216438356164
"MAC000366","ACORN-F","Comfortable","ToU",0.0425968169761273,0.0412767123287671,0.0408076923076923,0.0414465753424658,0.0417068493150685,0.041813698630137,0.0404904109589041,0.0405424657534247,0.0401698630136986,0.0400575342465753,0.0431835616438356,0.0928602736986301,0.105769862465753,0.151465754246575,0.256865754246575,0.34048767260274,0.372010958630137,0.359975343835616,0.34354246630137,0.276131506849315,0.217005478630137,0.186224657534247,0.157123287945205,0.142268493150685,0.137186301369863,0.134695890410959,0.133684931506849,0.125457534246575,0.121775342465753,0.121284931506849,0.127213698630137,0.169767123561644,0.237693150958904,0.277882191780822,0.277312328493151,0.203610958630137,0.14266575369863,0.10441095890411,0.108419178082192,0.139712328493151,0.138271232876712,0.119468493150685,0.120761643835616,0.113230136986301,0.0901205479452055,0.0710958904109589,0.0571643835616438,0.0506191783561644
"MAC000369","ACORN-F","Comfortable","ToU",0.310305039787798,0.253268493150685,0.209917808219178,0.193169863013699,0.181427397260274,0.162553424657534,0.163334246575342,0.161778082191781,0.162235616438356,0.159019178082192,0.160843835616438,0.156583561643836,0.163824657534247,0.166413698630137,0.18227397260274,0.19066301369863,0.205706849315068,0.226378082191781,0.262065753424658,0.29972328739726,0.345446575616438,0.357594520547945,0.38365205369863,0.385673972054795,0.365115068767123,0.319073972328767,0.324589040273973,0.366315068767123,0.378788461538462,0.383350685753425,0.381241095068493,0.391090411506849,0.390698629863014,0.37539452109589,0.369575342465753,0.367569863835616,0.36506849260274,0.34326027369863,0.335504109315068,0.372057534246575,0.38641643890411,0.394638355616438,0.416339726027397,0.44941095890411,0.444282191506849,0.431794520547945,0.41452602739726,0.369567123287671
"MAC000406","ACORN-I","Comfortable","ToU",0.050031914893617,0.0460904109589041,0.0450958904109589,0.0426712328767123,0.0404164383561644,0.0400438356164384,0.0408164383561644,0.0402849315068493,0.0400027397260274,0.0418191780821918,0.0456301369863014,0.0703945205479452,0.0726191780821918,0.0850931506849315,0.143104109589041,0.166454794520548,0.140841095890411,0.155761643835616,0.113087671232877,0.113504109589041,0.110254794520548,0.123038356164384,0.126591780821918,0.127180821917808,0.13261095890411,0.12552602739726,0.127043835616438,0.13201095890411,0.116361643835616,0.118008219178082,0.136279452054795,0.150224657534247,0.208687671232877,0.34881095890411,0.409567123287671,0.382863013424658,0.282783561917808,0.194123287671233,0.164835616438356,0.170961643835616,0.164172602739726,0.163443835616438,0.152213698630137,0.152539726027397,0.128117808219178,0.102257534246575,0.0794520547945206,0.0585945205479452
"MAC000439","ACORN-F","Comfortable","ToU",0.42362068938992,0.343090410958904,0.293019178082192,0.256282191780822,0.211169863013699,0.169005479452055,0.137983561643836,0.121608219178082,0.112465753424658,0.111413698630137,0.108413698630137,0.109131506849315,0.108060273972603,0.124964383561644,0.138643835890411,0.140060273424658,0.144419178082192,0.157994520547945,0.162213698630137,0.171079452054795,0.230912328219178,0.253136986575343,0.32858904109589,0.287465754794521,0.285676713424658,0.246394520821918,0.34200273890411,0.307495889041096,0.317761643835616,0.263726028219178,0.181698629589041,0.161008219178082,0.17253698630137,0.192597260273973,0.239632876712329,0.263556164383562,0.28792602739726,0.31452876739726,0.332758904109589,0.340032876712329,0.341413698630137,0.365657534520548,0.361583561643836,0.384717808219178,0.454441096712329,0.537953425753425,0.54012876739726,0.456635617260274
